epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
23,433.43,1.45869,2.67895,1.17378,0.87641,0.19987,0.36565,0.17437,1.58573,3.3411,1.32009,0.000425796,0.000425796,0.000425796
24,452.493,1.43668,2.63927,1.17128,0.41981,0.40476,0.25387,0.12363,1.70559,3.60157,1.40644,0.000435454,0.000435454,0.000435454
25,470.967,1.47945,2.69021,1.19673,0.6754,0.25163,0.28617,0.13045,1.65139,3.65129,1.34027,0.00044434,0.00044434,0.00044434
26,487.462,1.53671,2.63147,1.1988,0.71763,0.13095,0.32078,0.19648,1.51428,3.48211,1.253,0.000452455,0.000452455,0.000452455
27,501.841,1.44395,2.61996,1.15082,0.44277,0.25249,0.29231,0.178,1.57442,3.48978,1.2862,0.000459798,0.000459798,0.000459798
28,516.526,1.36178,2.4977,1.11787,0.01839,0.75,0.19711,0.11701,1.68203,3.67907,1.35117,0.00046637,0.00046637,0.00046637
29,531.148,1.39424,2.44127,1.09494,0.01839,0.75,0.19711,0.11701,1.68203,3.67907,1.35117,0.000472171,0.000472171,0.000472171
30,545.29,1.39909,2.45924,1.15122,0.01498,0.4881,0.09715,0.04557,1.77583,3.96858,1.41491,0.0004772,0.0004772,0.0004772
31,559.583,1.34748,2.42153,1.11144,0.00967,0.35714,0.09842,0.04869,1.9257,4.07891,1.49235,0.000481458,0.000481458,0.000481458
32,574.667,1.29165,2.33744,1.09578,0.7699,0.03571,0.14519,0.07861,1.78941,3.81044,1.39583,0.000484945,0.000484945,0.000484945
33,589.9,1.31525,2.31365,1.11507,0.7699,0.03571,0.14519,0.07861,1.78941,3.81044,1.39583,0.00048766,0.00048766,0.00048766
34,604.04,1.36631,2.30014,1.13319,0.68197,0.15476,0.30054,0.17889,1.72171,3.42783,1.32825,0.000484757,0.000484757,0.000484757
35,618.733,1.46487,2.3063,1.12501,0.68327,0.20308,0.30366,0.20132,1.73036,3.3479,1.37862,0.000471901,0.000471901,0.000471901
36,635.439,1.34097,2.26031,1.11536,0.6458,0.18584,0.30295,0.20362,1.79105,3.4017,1.43222,0.000459045,0.000459045,0.000459045
37,653.907,1.34938,2.19711,1.14101,0.6458,0.18584,0.30295,0.20362,1.79105,3.4017,1.43222,0.000446189,0.000446189,0.000446189
38,672.365,1.38531,2.31144,1.12568,0.75977,0.20998,0.34456,0.19265,1.71125,3.33386,1.38121,0.000433333,0.000433333,0.000433333
39,692.151,1.30685,2.10831,1.09953,0.81713,0.10527,0.2641,0.16237,1.63184,3.41346,1.38624,0.000420477,0.000420477,0.000420477
40,711.902,1.31319,2.07285,1.11052,0.81322,0.10407,0.22881,0.13677,1.66391,3.45244,1.41397,0.000407622,0.000407622,0.000407622
41,730.701,1.37416,2.08611,1.1091,0.81322,0.10407,0.22881,0.13677,1.66391,3.45244,1.41397,0.000394766,0.000394766,0.000394766
