epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,381.799,1.44587,2.31136,1.18733,0.8549,0.19048,0.28478,0.09493,1.83535,2.97031,1.4126,0.000360055,0.000360055,0.000360055
63,389.603,1.62661,2.3249,1.34817,0.8549,0.19048,0.28478,0.09493,1.83535,2.97031,1.4126,0.000351056,0.000351056,0.000351056
64,397.416,1.61289,2.61575,1.46486,0.72528,0.26667,0.27758,0.1156,1.8186,2.87865,1.39136,0.000342057,0.000342057,0.000342057
65,405.027,1.70604,2.59921,1.3753,0.72528,0.26667,0.27758,0.1156,1.8186,2.87865,1.39136,0.000333058,0.000333058,0.000333058
66,412.922,1.84977,2.59749,1.33888,0.68241,0.24762,0.21404,0.10971,1.85059,2.86547,1.3812,0.000324058,0.000324058,0.000324058
67,419.114,1.6187,2.60007,1.33808,0.68241,0.24762,0.21404,0.10971,1.85059,2.86547,1.3812,0.000315059,0.000315059,0.000315059
68,423.874,2.08117,2.66999,1.40089,0.85062,0.13827,0.20669,0.08476,1.88563,2.90829,1.38024,0.00030606,0.00030606,0.00030606
69,428.257,2.20016,2.51208,1.44367,0.85062,0.13827,0.20669,0.08476,1.88563,2.90829,1.38024,0.000297061,0.000297061,0.000297061
70,435.678,1.77586,2.6279,1.2781,0.86807,0.19048,0.21362,0.07659,1.88486,2.89536,1.36916,0.000288062,0.000288062,0.000288062
71,443.561,1.96897,2.64147,1.31107,0.86807,0.19048,0.21362,0.07659,1.88486,2.89536,1.36916,0.000279063,0.000279063,0.000279063
72,451.021,1.81351,2.64361,1.24782,0.82293,0.14286,0.20951,0.07643,1.88444,2.91752,1.3646,0.000270064,0.000270064,0.000270064
73,459.135,1.94312,3.126,1.73296,0.82293,0.14286,0.20951,0.07643,1.88444,2.91752,1.3646,0.000261065,0.000261065,0.000261065
74,466.621,1.99359,2.5038,1.1997,0.86919,0.19048,0.29121,0.09683,1.84581,2.87344,1.33595,0.000252066,0.000252066,0.000252066
75,474.291,1.73418,2.38275,1.22114,0.86919,0.19048,0.29121,0.09683,1.84581,2.87344,1.33595,0.000243067,0.000243067,0.000243067
76,482.238,1.68834,2.24782,1.13623,0.87347,0.28571,0.40282,0.13799,1.7629,2.87348,1.3161,0.000234068,0.000234068,0.000234068
77,490.137,1.60631,3.38578,1.23119,0.87347,0.28571,0.40282,0.13799,1.7629,2.87348,1.3161,0.000225068,0.000225068,0.000225068
78,498.008,2.09703,3.02047,1.41684,0.88163,0.2381,0.42062,0.17531,1.67321,2.80093,1.29095,0.000216069,0.000216069,0.000216069
79,505.9,2.17601,2.88271,1.32003,0.88163,0.2381,0.42062,0.17531,1.67321,2.80093,1.29095,0.00020707,0.00020707,0.00020707
80,514.213,1.68561,2.64532,1.25778,0.84984,0.33292,0.4158,0.20881,1.61158,2.69643,1.29354,0.000198071,0.000198071,0.000198071
81,522.084,1.60957,2.55929,1.24174,0.84984,0.33292,0.4158,0.20881,1.61158,2.69643,1.29354,0.000189072,0.000189072,0.000189072
82,529.945,1.34287,2.56726,1.14673,0.84697,0.29239,0.43965,0.23467,1.6343,2.58988,1.32434,0.000180073,0.000180073,0.000180073
83,538.632,1.39054,2.08944,1.23618,0.84697,0.29239,0.43965,0.23467,1.6343,2.58988,1.32434,0.000171074,0.000171074,0.000171074
84,547.485,1.27604,2.43174,1.19807,0.54096,0.37857,0.4761,0.26895,1.63152,2.49533,1.31698,0.000162075,0.000162075,0.000162075
85,555.635,1.95863,2.66442,1.55564,0.54096,0.37857,0.4761,0.26895,1.63152,2.49533,1.31698,0.000153076,0.000153076,0.000153076
86,564.148,1.4315,2.28164,1.25509,0.53248,0.37857,0.45604,0.25849,1.62738,2.42077,1.31149,0.000144077,0.000144077,0.000144077
87,572.056,1.70489,2.65152,1.29426,0.53248,0.37857,0.45604,0.25849,1.62738,2.42077,1.31149,0.000135077,0.000135077,0.000135077
88,579.522,1.73802,2.3283,1.34424,0.4375,0.43777,0.45135,0.25843,1.60671,2.39172,1.30111,0.000126078,0.000126078,0.000126078
89,587.619,1.55576,2.29811,1.15448,0.4375,0.43777,0.45135,0.25843,1.60671,2.39172,1.30111,0.000117079,0.000117079,0.000117079
90,595.537,1.50503,2.1732,1.18244,0.79846,0.29247,0.46305,0.2603,1.6417,2.40797,1.3036,0.00010808,0.00010808,0.00010808
91,603.391,1.4937,3.36672,1.32112,0.79846,0.29247,0.46305,0.2603,1.6417,2.40797,1.3036,9.9081e-05,9.9081e-05,9.9081e-05
92,611.556,1.97444,3.19929,1.61199,0.4738,0.39161,0.43102,0.26832,1.67164,2.42172,1.3054,9.00819e-05,9.00819e-05,9.00819e-05
93,619.049,1.96721,2.82386,1.5487,0.4738,0.39161,0.43102,0.26832,1.67164,2.42172,1.3054,8.10828e-05,8.10828e-05,8.10828e-05
94,626.943,1.88015,2.64919,1.53456,0.45342,0.37857,0.43015,0.24969,1.69058,2.43862,1.31508,7.20837e-05,7.20837e-05,7.20837e-05
95,634.504,2.14951,3.65667,1.41481,0.45342,0.37857,0.43015,0.24969,1.69058,2.43862,1.31508,6.30846e-05,6.30846e-05,6.30846e-05
96,642.314,1.38263,2.16642,1.13737,0.45912,0.37857,0.42274,0.24968,1.6796,2.43599,1.30584,5.40855e-05,5.40855e-05,5.40855e-05
97,649.953,1.45479,2.15731,1.13489,0.45912,0.37857,0.42274,0.24968,1.6796,2.43599,1.30584,4.50864e-05,4.50864e-05,4.50864e-05
98,657.819,1.93767,2.29312,1.41164,0.45858,0.37857,0.4207,0.24577,1.66469,2.42827,1.29089,3.60873e-05,3.60873e-05,3.60873e-05
99,665.837,1.65686,2.47328,1.34741,0.45858,0.37857,0.4207,0.24577,1.66469,2.42827,1.29089,2.70882e-05,2.70882e-05,2.70882e-05
100,673.337,1.37826,1.99408,1.19644,0.47617,0.42619,0.44467,0.24751,1.6551,2.42463,1.29082,1.80891e-05,1.80891e-05,1.80891e-05
